번호,구분,화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치연월,위도,경도,화장실소유구분,화장실설치장소유형,오물처리방식,비상벨설치유형,화장실입구CCTV설치유무,기저귀교환대장소,리모델링연월,데이터기준일자
30,공중화장실,훈련원근린공원,서울특별시 중구  을지로 227,을지로5가 40-3,N,2,3,1,0,0,0,5,1,0,중구청 공원녹지과,02-3396-5855,00:00~24:00,,,,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2021-05-13
31,공중화장실,신당1호 공중화장실,서울특별시 중구 다산로33다길 25,신당동 236-542,N,1,1,0,0,0,0,2,0,0,중구시설관리공단,02-2280-8384,00:00~24:00,,,,지방자치단체,공공용시설,수세식,여자화장실,Y,없음,,2021-05-13
32,공중화장실,신당2호 공중화장실,서울특별시 중구 다산로31길 7-5,신당동 298-74,N,2,1,0,0,0,0,2,0,0,중구시설관리공단,02-2280-8384,00:00~24:00,,,,지방자치단체,공공용시설,수세식,여자화장실,Y,없음,,2021-05-13
33,공중화장실,청구역 공중화장실,생성필요,신당동 297-17,N,1,3,1,0,0,0,2,1,0,중구시설관리공단,02-2280-8384,00:00~24:00,,,,지방자치단체,공공용시설,수세식,여자화장실,Y,없음,,2021-05-13
34,공중화장실,황학동 공중화장실,서울특별시 중구 다산로48길 33,황학동 755,N,1,2,1,0,0,0,3,1,0,중구시설관리공단,02-2280-8384,00:00~24:00,,,,지방자치단체,공공용시설,수세식,여자화장실,Y,여자화장실,,2021-05-13
35,공중화장실,약수동공영주차장 화장실,서울특별시 중구 동호로8다길 22,신당동 349-234,N,2,2,0,0,0,0,2,0,0,중구시설관리공단,02-2280-8384,00:00~24:00,,,,지방자치단체,공공용시설,수세식,없음,N,없음,,2021-05-13
36,공중화장실,동산공영주차장 화장실,서울특별시 중구 다산로24가길 23,신당동 333-260,N,2,1,0,0,0,0,2,0,0,중구시설관리공단,02-2280-8384,00:00~24:00,,,,지방자치단체,공공용시설,수세식,없음,N,없음,,2021-05-13
37,공중화장실,버티공영주차장 화장실,서울특별시 중구 동호로17길 270,신당동 432-1693,N,2,2,0,0,0,0,2,0,0,중구시설관리공단,02-2280-8384,00:00~24:00,,,,지방자치단체,공공용시설,수세식,없음,N,없음,,2021-05-13
38,공중화장실,성곽공영주차장 화장실,서울특별시 중구 동호로17길 201,신당동 432-2026,N,2,1,0,0,0,0,1,0,0,중구시설관리공단,02-2280-8384,00:00~24:00,,,,지방자치단체,공공용시설,수세식,없음,N,없음,,2021-05-13
39,공중화장실,다산아트공영주차장 화장실,서울특별시 중구 동호로17길 173,신당동 432-1558,N,2,2,0,0,0,0,4,0,0,중구시설관리공단,02-2280-8384,00:00~24:00,,,,지방자치단체,공공용시설,수세식,없음,N,없음,,2021-05-13
40,공중화장실,충현공영주차장 화장실,서울특별시 중구 동호로11나길 47,신당동 432-462,Y,1,1,0,0,0,0,0,0,0,중구시설관리공단,02-2280-8384,00:00~24:00,,,,지방자치단체,공공용시설,수세식,없음,N,없음,,2021-05-13
41,공중화장실,다산동공영주차장 화장실,서울특별시 중구 동호로15길 60,신당동 432-1584,N,1,1,0,0,0,0,1,0,0,중구시설관리공단,02-2280-8384,00:00~24:00,,,,지방자치단체,공공용시설,수세식,없음,N,없음,,2021-05-13
42,공중화장실,문화공영주차장 화장실,서울특별시 중구 동호로12길 29,신당동 381-27,N,1,1,0,0,0,0,1,0,0,중구시설관리공단,02-2280-8384,00:00~24:00,,,,지방자치단체,공공용시설,수세식,없음,N,없음,,2021-05-13
43,공중화장실,손기정체육공원 공영주차장 화장실,서울특별시 중구 손기정로 101,만리동2가 6-1,N,2,3,0,0,0,0,2,0,0,중구시설관리공단,02-2280-8384,00:00~24:00,,,,지방자치단체,공공용시설,수세식,없음,N,없음,,2021-05-13
44,공중화장실,남산동공영주차장 화장실,서울특별시 중구 퇴계로20길 24,남산동2가 30-4,N,1,4,0,0,0,0,2,0,0,중구시설관리공단,02-2280-8384,00:00~24:00,,,,지방자치단체,공공용시설,수세식,없음,N,없음,,2021-05-13
45,공중화장실,필동공영주차장 화장실,서울특별시 중구 필동로 55,필동3가 62-12,N,1,1,0,0,0,0,2,0,0,중구시설관리공단,02-2280-8384,00:00~24:00,,,,지방자치단체,공공용시설,수세식,없음,N,없음,,2021-05-13
46,공중화장실,장충공영주차장 화장실,서울특별시 중구 퇴계로50길 59,장충동2가 193-39,N,0,0,0,0,0,0,2,0,0,중구시설관리공단,02-2280-8384,00:00~24:00,,,,지방자치단체,공공용시설,수세식,없음,N,여자화장실,,2021-05-13
47,공중화장실,신당역공영주차장 화장실,서울특별시 중구 다산로44길 67,신당동 140-29,Y,1,1,0,0,0,0,0,0,0,중구시설관리공단,02-2280-8384,00:00~24:00,,,,지방자치단체,공공용시설,수세식,없음,N,없음,,2021-05-13
48,공중화장실,중구구민회관 공영주차장 화장실,서울특별시 중구 을지로39길 40,을지로6가 18-14,Y,0,1,0,0,0,0,0,0,0,중구시설관리공단,02-2280-8384,00:00~24:00,,,,지방자치단체,공공용시설,수세식,없음,N,없음,,2021-05-13
49,공중화장실,서울역(1) 화장실,서울특별시 중구 세종대로 지하 2,봉래동2가 122,N,4,5,1,0,0,0,9,1,0,서울교통공사,02-6110-1331,05:00~24:00,,,,공공기관,교통시설,수세식,,Y,,,2021-05-13
50,공중화장실,시청역(1) 화장실,서울특별시 중구 세종대로 지하 101,정동 5-5,N,6,5,2,0,2,1,15,2,2,서울교통공사,02-6110-1321,05:00~24:00,,,,공공기관,교통시설,수세식,,Y,,,2021-05-13
51,공중화장실,시청역(2)(지하1층) 화장실,서울특별시 중구 서소문로 127,서소문동 90-1,N,5,4,2,0,0,1,10,2,0,서울교통공사,02-6110-2011,05:00~24:00,,,,공공기관,교통시설,수세식,,Y,없음,,2021-05-13
52,공중화장실,시청역(2)(지하2층) 화장실,서울특별시 중구 서소문로 127,서소문동 90-1,N,4,5,1,0,0,0,9,1,0,서울교통공사,02-6110-2011,05:00~24:00,,,,공공기관,교통시설,수세식,,Y,여자화장실,,2021-05-13
53,공중화장실,을지로입구역(2) 화장실,서울특별시 중구 을지로 지하 42,을지로1가 100-1,N,5,6,2,0,0,0,11,2,0,서울교통공사,02-6110-2021,05:00~24:00,,,,공공기관,교통시설,수세식,,Y,,,2021-05-13
54,공중화장실,을지로3가역(2) 화장실,서울특별시 중구 을지로 지하 106,을지로3가 347-3,N,5,8,2,0,1,1,13,2,1,서울교통공사,02-6110-2031,05:00~24:00,,,,공공기관,교통시설,수세식,,Y,,,2021-05-13
55,공중화장실,을지로4가역(2) 화장실,서울특별시 중구 을지로 지하 178,을지로4가 267-1,N,6,4,2,0,2,1,11,2,2,서울교통공사,02-6110-2041,05:00~24:00,,,,공공기관,교통시설,수세식,,Y,,,2021-05-13
56,공중화장실,동대문역사문화공원역(2) 화장실,서울특별시 중구 을지로 지하 279,을지로7가 112-3,N,6,8,2,0,0,0,20,2,0,서울교통공사,02-6110-2051,05:00~24:00,,,,공공기관,교통시설,수세식,,Y,,,2021-05-13
57,공중화장실,신당역(2) 화장실,서울특별시 중구 퇴계로 지하 431-1,신당동 99,N,5,6,2,0,0,1,13,2,1,서울교통공사,02-6110-2061,05:00~24:00,,,,공공기관,교통시설,수세식,,Y,,,2021-05-13
58,공중화장실,을지로3가역(3) 화장실,서울특별시 중구 을지로 지하 129,을지로3가 282-8,N,2,4,1,0,0,0,6,1,0,서울교통공사,02-6110-3301,05:00~24:00,,,,공공기관,교통시설,수세식,,Y,,,2021-05-13
59,공중화장실,태평로파출소,서울특별시 중구 다동길 11,다동 46,N,1,1,0,0,0,0,0,0,0,태평로파출소,02-2096-8471,정시,,,,공공기관,공공용시설,수세식,장애인화장실,N,없음,,2021-05-13
60,공중화장실,서소문파출소,서울특별시 중구 서소문로 131-1,서소문동 24,N,1,1,0,0,0,0,0,0,0,서소문파출소,02-2096-8477,정시,,,,공공기관,공공용시설,수세식,없음,Y,없음,,2021-05-13
61,공중화장실,서울역파출소,서울특별시 중구 통일로 15,봉래동2가 122-17,N,1,2,0,0,0,0,0,0,0,서울역파출소,02-2096-8472,정시,,,,공공기관,공공용시설,수세식,없음,Y,없음,,2021-05-13
62,공중화장실,회현파출소,서울특별시 중구 퇴계로6길 3-15,회현동1가 194-15,Y,1,1,0,0,0,0,0,0,0,회현파출소,02-2096-8476,정시,,,,공공기관,공공용시설,수세식,없음,N,없음,,2021-05-13
63,공중화장실,남대문파출소,서울특별시 중구 남대문시장4길 28-16,남창동 51-1,Y,1,1,0,0,0,0,0,0,0,남대문파출소,02-2096-8474,정시,,,,공공기관,공공용시설,수세식,없음,N,없음,,2021-05-13
64,공중화장실,중림파출소,서울특별시 중구 중림로 36,중림동 203,Y,1,1,0,0,0,0,0,0,0,중림파출소,02-2096-8475,정시,,,,공공기관,공공용시설,수세식,없음,N,없음,,2021-05-13
65,공중화장실,명동파출소,서울특별시 중구 명동길 30,명동2가 50-13,Y,1,1,0,0,0,0,0,0,0,명동파출소,02-2096-8473,정시,,,,공공기관,공공용시설,수세식,없음,N,없음,,2021-05-13
66,공중화장실,서울중부경찰서 본관,서울특별시 중구 수표로 27,저동2가 62-1,N,3,3,0,0,0,0,3,0,0,서울중부경찰서 본관,02-3396-9183,정시,,,,공공기관,공공용시설,수세식,없음,Y,없음,,2021-05-13
67,공중화장실,서울중부경찰서 민원실,서울특별시 중구 수표로 27,저동2가 62-1,N,1,1,0,0,0,0,1,0,0,서울중부경찰서 민원실,02-2273-4400,정시,,,,공공기관,공공용시설,수세식,여자화장실,Y,없음,,2021-05-13
68,공중화장실,을지지구대,서울특별시 중구 을지로 234,을지로5가 72-1,N,1,1,0,0,0,0,2,0,0,을지지구대,02-2279-1908,정시,,,,공공기관,공공용시설,수세식,없음,N,없음,,2021-05-13
69,공중화장실,광희지구대,서울특별시 중구 퇴계로 375-1,신당동 250-10,N,1,1,0,0,0,0,0,0,0,광희지구대,02-2233-1444,정시,,,,공공기관,공공용시설,수세식,없음,N,없음,,2021-05-13
70,공중화장실,약수지구대,서울특별시 중구 동호로5길 15,약수동 844-3,Y,1,1,0,0,0,0,0,0,0,약수지구대,02-2234-8112,정시,,,,공공기관,공공용시설,수세식,없음,N,없음,,2021-05-13
71,공중화장실,신당파출소,서울특별시 중구 다산로 248,신당동 100-1,Y,1,1,0,0,0,0,0,0,0,신당파출소,02-2252-0435,정시,,,,공공기관,공공용시설,수세식,없음,N,없음,,2021-05-13
72,공중화장실,장충파출소,서울특별시 중구 동호로 261,장충동2가 197-34,Y,1,1,0,0,0,0,0,0,0,장충파출소,02-2274-9003,정시,,,,공공기관,공공용시설,수세식,없음,N,없음,,2021-05-13
73,공중화장실,충무파출소,서울특별시 중구 퇴계로 178,필동1가 20-5,Y,1,1,0,0,0,0,0,0,0,충무파출소,02-2278-7710,정시,,,,공공기관,공공용시설,수세식,없음,N,없음,,2021-05-13
74,공중화장실,을지로3가파출소,서울특별시 중구 충무로 56-1,을지로3가 291-50,Y,1,1,0,0,0,0,0,0,0,을지로3가파출소,02-2266-2404,정시,,,,공공기관,공공용시설,수세식,없음,N,없음,,2021-05-13
75,공중화장실,세종로파출소,서울특별시 중구 세종대로 141,태평로1가 68-1,N,2,2,0,0,0,0,1,0,0,세종로파출소,02-3701-4312,00:00~24:00,,,,공공기관,공공용시설,수세식,없음,Y,없음,,2021-05-13
76,공중화장실,서울중앙우체국(포스트타워),서울특별시 중구 소공로 70,충무로1가 21-1,N,2,3,1,0,0,0,4,1,0,서울중앙우체국,02-6450-1571,00:00~24:00,,,,국가,공공용시설,수세식,없음,Y,없음,,2021-05-13
77,공중화장실,서울역전우체국,서울특별시 중구 통일로 21,봉래동2가 123,Y,1,1,0,0,0,0,0,0,0,서울역전우체국,02-757-1140,09:00~18:00,,,,국가,공공용시설,수세식,없음,Y,없음,,2021-05-13
78,공중화장실,서울소공동우체국,서울특별시 중구 남대문로1길 34,북창동 70-1,N,2,2,0,0,0,0,2,0,0,범화실업(주),,09:00~18:00,,,,민간,기타,수세식,없음,N,없음,,2021-05-13
79,공중화장실,서울충무로2가우체국,서울특별시 중구 삼일대로6길 5,충무로2가 49-11,N,1,2,0,0,0,0,2,0,0,조양물산(주),,09:00~18:00,,,,민간,기타,수세식,없음,N,없음,,2021-05-13
80,공중화장실,서울태평로우체국,서울특별시 중구 칠패로 42,봉래동1가 5-37,N,2,3,0,0,0,0,2,0,0,우리빌딩 관리사무소,02-3783-7007,09:00~18:00,,,,민간,기타,수세식,없음,N,없음,,2021-05-13
81,공중화장실,서울신당동우체국,서울특별시 중구 다산로 128-8,신당동 369-36,Y,1,1,0,0,0,0,0,0,0,서울신당동우체국,02-2236-0606,09:00~18:00,,,,국가,공공용시설,수세식,없음,N,없음,,2021-05-13
82,공중화장실,서울을지로4가우체국,서울특별시 중구 을지로 154-2,을지로4가 312-1,Y,2,1,0,0,0,0,0,0,0,서울을지로4가우체국,02-2273-6505,09:00~18:00,,,,국가,공공용시설,수세식,없음,N,없음,,2021-05-13
83,공중화장실,서울퇴계로5가우체국,서울특별시 중구 퇴계로 270,장충동2가 173-3,Y,1,1,0,0,0,0,0,0,0,서울퇴계로5가우체국,02-2273-6508,09:00~18:00,,,,국가,공공용시설,수세식,없음,N,없음,,2021-05-13
84,공중화장실,서울흥인동우체국,서울특별시 중구 다산로 253,흥인동 113-1,Y,1,1,0,0,0,0,0,0,0,서울흥인동우체국,02-2236-0500,09:00~18:00,,,,국가,공공용시설,수세식,없음,N,없음,,2021-05-13
85,공중화장실,중부소방서,서울특별시 중구 퇴계로 394,무학동 43,N,8,5,0,0,0,0,6,0,0,중부소방서,02-2238-0188,00:00~24:00,,,,공공기관,공공용시설,수세식,없음,N,없음,,2021-05-13
86,공중화장실,을지로119안전센터,서울특별시 중구 을지로45길 43,신당동 251-7,N,6,6,0,0,0,0,2,0,0,을지로119안전센터,02-2235-0119,00:00~24:00,,,,공공기관,공공용시설,수세식,없음,N,없음,,2021-05-13
87,공중화장실,신당119안전센터,서울특별시 중구 다산로8길 2,신당동 366-12,Y,0,0,0,0,0,0,0,0,0,신당119안전센터,02-2238-0698,00:00~24:00,,,,공공기관,공공용시설,수세식,없음,N,없음,,2021-05-13
88,공중화장실,명동역지하상가,서울특별시 중구 퇴계로 지하124,충무로2가 109-2,N,2,2,0,0,0,0,5,1,0,서울시설공단 상가운영처,02-2290-6546,00:00~24:00,,,,공공기관,상업시설,수세식,,Y,여자화장실,,2021-05-13
89,공중화장실,소공지하상가,서울특별시 중구 소공로 지하102,남대문로2가 9-9,N,2,3,0,0,0,0,4,0,0,서울시설공단 상가운영처,02-2290-6458,04:30~23:30,,,,공공기관,상업시설,수세식,,Y,없음,,2021-05-13
90,공중화장실,소공지하상가,서울특별시 중구 소공로 지하102,남대문로2가 9-9,N,4,7,1,0,0,0,10,1,0,서울시설공단 상가운영처,02-2290-6458,04:30~23:30,,,,공공기관,상업시설,수세식,,Y,,,2021-05-13
91,공중화장실,소공지하상가,서울특별시 중구 소공로 지하102,남대문로2가 9-9,N,3,3,0,0,0,0,6,0,0,서울시설공단 상가운영처,02-2290-6458,08:00~20:00,,,,공공기관,상업시설,수세식,,Y,없음,,2021-05-13
92,공중화장실,명동지하상가,서울특별시 중구 남대문로 지하72,남대문로2가 9-9,N,3,5,1,0,0,0,9,1,0,서울시설공단 상가운영처,02-2290-6540,00:00~24:00,,,,공공기관,상업시설,수세식,,Y,,,2021-05-13
93,공중화장실,동대문지상상가 1층,서울특별시 중구 마장로 22,신당동 251-7,N,0,0,1,0,0,0,8,1,0,서울시설공단 주차시설운영처,02-3405-4033,00:00~24:00,,,,공공기관,상업시설,수세식,없음,Y,없음,,2021-05-13
94,공중화장실,동대문지상상가 2층,서울특별시 중구 마장로 22,신당동 251-7,N,0,0,0,0,0,0,6,0,0,서울시설공단 주차시설운영처,02-3405-4033,00:00~24:00,,,,공공기관,상업시설,수세식,없음,Y,없음,,2021-05-13
95,공중화장실,동대문지상상가 2층,서울특별시 중구 마장로 22,신당동 251-7,N,2,5,1,0,0,0,5,1,0,서울시설공단 주차시설운영처,02-3405-4033,00:00~24:00,,,,공공기관,상업시설,수세식,없음,Y,없음,,2021-05-13
96,공중화장실,동대문지상상가 3층,서울특별시 중구 마장로 22,신당동 251-7,N,0,0,0,0,0,0,5,0,0,서울시설공단 주차시설운영처,02-3405-4033,00:00~24:00,,,,공공기관,상업시설,수세식,없음,Y,없음,,2021-05-13
97,공중화장실,동대문지상상가 3층,서울특별시 중구 마장로 22,신당동 251-7,N,2,5,1,0,0,0,4,1,0,서울시설공단 주차시설운영처,02-3405-4033,00:00~24:00,,,,공공기관,상업시설,수세식,없음,Y,없음,,2021-05-13
98,공중화장실,동대문지상상가 B1층,서울특별시 중구 마장로 22,신당동 251-7,N,2,3,0,0,0,0,6,1,0,서울시설공단 주차시설운영처,02-3405-4033,00:00~24:00,,,,공공기관,상업시설,수세식,없음,N,없음,,2021-05-13
99,공중화장실,훈련원공원 공영주차장 지하 1층,서울특별시 중구 을지로 227,을지로5가 40-3,N,3,3,0,0,0,0,4,1,0,서울시설공단 주차시설운영처,02-3405-4033,00:00~24:00,,,,공공기관,기타,수세식,,Y,없음,,2021-05-13
100,공중화장실,훈련원공원 공영주차장 지하 1층,서울특별시 중구 을지로 227,을지로5가 40-3,N,3,3,0,0,0,0,11,1,0,서울시설공단 주차시설운영처,02-3405-4033,00:00~24:00,,,,공공기관,기타,수세식,,Y,없음,,2021-05-13
101,공중화장실,훈련원공원 공영주차장 지하 2층,서울특별시 중구 을지로 227,을지로5가 40-3,N,5,7,0,0,0,0,8,1,0,서울시설공단 주차시설운영처,02-3405-4033,00:00~24:00,,,,공공기관,기타,수세식,,N,없음,,2021-05-13
102,공중화장실,훈련원공원 공영주차장 지하 2층,서울특별시 중구 을지로 227,을지로5가 40-3,N,6,10,0,0,0,0,12,1,0,서울시설공단 주차시설운영처,02-2290-6397,00:00~24:00,,,,공공기관,기타,수세식,,N,없음,,2021-05-13
103,공중화장실,팔각정 입구,서울특별시 중구 남산공원길 507,예장동 산5-6,N,4,7,1,0,0,0,17,1,0,중부공원녹지사업소,02-753-5500,00:00~24:00,,,,공공기관,기타,수세식,,N,여자화장실,,2021-05-13
104,공중화장실,잠두체육회화장실,서울특별시 중구 남산공원길 649,회현동1가 산1-2,N,3,3,1,0,0,0,9,1,0,중부공원녹지사업소,02-318-5284,00:00~24:00,,,,공공기관,기타,수세식,,Y,,,2021-05-13
105,공중화장실,호현당화장실,서울특별시 중구 소파로 46,회현동1가 산1-3,N,3,4,1,0,0,0,10,1,0,중부공원녹지사업소,02-318-5284,00:00~24:00,,,,공공기관,기타,수세식,,Y,,,2021-05-13
106,공중화장실,목멱산방화장실,서울특별시 중구 남산공원길 507,예장동 산5-6,N,2,3,1,0,0,0,6,1,0,중부공원녹지사업소,02-318-5284,00:00~24:00,,,,공공기관,기타,수세식,,Y,,,2021-05-13
107,공중화장실,석호정,서울특별시 중구 남산공원길 372,장충동2가 산14-102,N,4,5,1,0,0,0,8,1,0,중부공원녹지사업소,02-2267-8855,00:00~24:00,,,,공공기관,기타,수세식,,N,,,2021-05-13
108,공중화장실,장충체육회,,장충동2가 산14-21,N,4,4,1,0,0,0,7,1,0,중부공원녹지사업소,02-2267-8855,00:00~24:00,,,,공공기관,기타,수세식,,N,,,2021-05-13
109,공중화장실,장충단공원,서울특별시 중구 동호로 257-10,장충동2가 197,N,4,4,1,0,0,0,10,1,0,중부공원녹지사업소,02-2267-8855,00:00~24:00,,,,공공기관,기타,수세식,,N,,,2021-05-13
110,공중화장실,1호터널,서울특별시 중구 남산공원길 507,예장동 산5-6,N,2,1,0,0,0,0,2,0,0,중부공원녹지사업소,02-2267-8855,00:00~24:00,,,,공공기관,기타,수세식,여자화장실,N,없음,,2021-05-13
